size,run,gen_time_sec,effective_length,density_non_blank
12x12x20,0,8.22,20,0.6389
12x12x20,1,4.89,20,0.6111
12x12x20,2,8.94,20,0.6111
12x12x20,3,42.47,20,0.6319
12x12x20,4,9.56,20,0.6042
12x12x20,5,4.2,20,0.5833
12x12x20,6,5.23,20,0.6458
12x12x20,7,15.43,20,0.6597
12x12x20,8,9.38,20,0.625
12x12x20,9,5.88,20,0.5972
9x9x10,0,0.73,10,0.8025
9x9x10,1,0.73,10,0.8025
9x9x10,2,0.77,10,0.7037
9x9x10,3,2.45,9,0.716
9x9x10,4,0.78,10,0.8272
9x9x10,5,0.77,9,0.716
9x9x10,6,0.78,10,0.679
9x9x10,7,0.71,8,0.7654
9x9x10,8,0.72,8,0.6914
9x9x10,9,0.74,10,0.716
